DEFINIÇÃO DE ATIVO,4.3 – 4.25
Direito,4.6 – 4.13
Potencial de produzir benefícios econômicos,4.14 – 4.18
Controle,4.19 – 4.25
DEFINIÇÃO DE PASSIVO,4.26 – 4.47
Obrigação,4.28 – 4.35
Transferência de recurso econômico,4.36 – 4.41
Obrigação presente como resultado de eventos passados,4.42 – 4.47
ATIVO E PASSIVO,4.48 – 4.62
Unidade de conta,4.48 – 4.55
Contrato executório,4.56 – 4.58
Essência de direito contratual e obrigação contratual,4.59 – 4.62
DEFINIÇÃO DE PATRIMÔNIO LÍQUIDO,4.63 – 4.67
DEFINIÇÃO DE RECEITA E DESPESA,4.68 – 4.72
CAPÍTULO 5 – RECONHECIMENTO E DESRECONHECIMENTO,
PROCESSO DE RECONHECIMENTO,5.1 – 5.5
CRITÉRIOS DE RECONHECIMENTO,5.6 – 5.25
Relevância,5.12 – 5.17
Representação fidedigna,5.18 – 5.25
DESRECONHECIMENTO,5.26 – 5.33
CAPÍTULO 6 – MENSURAÇÃO,
INTRODUÇÃO,6.1 – 6.3
BASES DE MENSURAÇÃO,6.4 – 6.22
Custo histórico,6.4 – 6.9
Valor atual,6.10 – 6.22
INFORMAÇÕES FORNECIDAS POR BASES DE MENSURAÇÃO ESPECÍFICAS,6.23 – 6.42
Custo histórico,6.24 – 6.31
Valor atual,6.32 – 6.42
"FATORES A SEREM CONSIDERADOS AO SELECIONAR A BASE DE
MENSURAÇÃO",6.43 – 6.86
Relevância,6.49 – 6.57
Representação fidedigna,6.58 – 6.62
Características qualitativas de melhoria e a restrição de custo,6.63 – 6.76
Fatores específicos para mensuração inicial,6.77 – 6.82
Mais de uma base de mensuração,6.83 – 6.86
MENSURAÇÃO DE PATRIMÔNIO LÍQUIDO,6.87 – 6.90
TÉCNICAS DE MENSURAÇÃO BASEADAS EM FLUXO DE CAIXA,6.91 – 6.95
CAPÍTULO 7 – APRESENTAÇÃO E DIVULGAÇÃO,
