APRESENTAÇÃO E DIVULGAÇÃO COMO FERRAMENTAS DE COMUNICAÇÃO,7.1 – 7.3
OBJETIVOS E PRINCÍPIOS DE APRESENTAÇÃO E DIVULGAÇÃO,7.4 – 7.6
CLASSIFICAÇÃO,7.7 – 7.19
Classificação de ativos e passivos,7.9 – 7.11
Classificação de patrimônio líquido,7.12 – 7.13
Classificação de receitas e despesas,7.14 – 7.19
AGREGAÇÃO,7.20 – 7.22
CAPÍTULO 8 – CONCEITOS DE CAPITAL E MANUTENÇÃO DE CAPITAL,
CONCEITO DE CAPITAL,8.1 – 8.2
CONCEITOS DE MANUTENÇÃO DE CAPITAL E DETERMINAÇÃO DO LUCRO,8.3 – 8.9
AJUSTES PARA MANUTENÇÃO DE CAPITAL,8.10
APÊNDICE – DEFINIÇÕES DE TERMOS,
