Sumário,Item
CAPÍTULO 4 – ELEMENTOS DAS DEMONSTRAÇÕES CONTÁBEIS,
INTRODUÇÃO,4.1 – 4.2
DEFINIÇÃO DE ATIVO,4.3 – 4.25
Direito,4.6 – 4.13
Potencial de produzir benefícios econômicos,4.14 – 4.18
Controle,4.19 – 4.25
DEFINIÇÃO DE PASSIVO,4.26 – 4.47
Obrigação,4.28 – 4.35
Transferência de recurso econômico,4.36 – 4.41
Obrigação presente como resultado de eventos passados,4.42 – 4.47
ATIVO E PASSIVO,4.48 – 4.62
Unidade de conta,4.48 – 4.55
Contrato executório,4.56 – 4.58
Essência de direito contratual e obrigação contratual,4.59 – 4.62
DEFINIÇÃO DE PATRIMÔNIO LÍQUIDO,4.63 – 4.67
DEFINIÇÃO DE RECEITA E DESPESA,4.68 – 4.72
