Ativo circulante,66 – 68
Passivo circulante,69 – 76
"Informação a ser apresentada no balanço patrimonial ou em notas
explicativas",77 – 80A
Demonstração do resultado e demonstração do resultado abrangente,81 – 105
"Informação a ser apresentada na demonstração do resultado e na
demonstração do resultado abrangente",82 – 87
Resultado líquido do período,88 – 89
Outros resultados abrangentes do período,90 – 96
"Informação a ser apresentada na demonstração do resultado do período
ou nas notas explicativas",97 – 105
Demonstração das mutações do patrimônio líquido,106 – 110
"Informação a ser apresentada na demonstração das mutações do
patrimônio líquido",106
"Informação a ser apresentada na demonstração das mutações do
patrimônio líquido ou nas notas explicativas",106A – 110
Demonstração dos fluxos de caixa,111
Notas explicativas,112 – 138
Estrutura,112 – 116
Divulgação de políticas contábeis,117 – 124
Fontes de incerteza nas estimativas,125 – 133
Capital,134 – 136
"Instrumentos financeiros com opção de venda classificados no
patrimônio líquido",136A
Outras divulgações,137 – 138
Apêndice A – Exemplo,
