APRESENTAÇÃO,69 – 78
Ativos e passivos fiscais,69 – 76
Compensação de saldos,71 – 76
Despesa tributária,77 - 78
"Despesa (receita) tributária relacionada a resultado de atividades ordinárias
(operacionais)",77 – 77A
Diferença de câmbio sobre ativo ou passivo diferido no exterior,78
DIVULGAÇÃO,79 – 94
Apêndice A – Exemplos de diferença temporária,
Apêndice B – Exemplos ilustrativos,
Apêndice C – Recuperação de ativos reavaliados não depreciáveis,
"Apêndice D – Mudanças na situação fiscal de uma entidade ou de seus
proprietários",
