$,col1,col2
Reversão esperada de diferenças temporárias dedutíveis em 20X2,,
,De instrumento de dívida A,57.143
,De outras fontes,430.000
Reversão total de diferenças temporárias dedutíveis,,487.143
Reversão esperada de diferenças temporárias tributáveis em 20X2,,
,De instrumento de dívida B,(28.571)
,De outras fontes,(50.000)
Reversão total de diferenças temporárias tributáveis,,(78.571)
"Utilização com base na reversão de diferenças temporárias tributáveis
(Passo 1)",,78.571
"Diferenças temporárias dedutíveis restantes passíveis de serem
avaliadas para utilização no Passo 2 (487.143 - 78.571)",,408.572
