ITEM,"REFERÊNCIA
NCM",BENS,"PRAZO
DE VIDA
ÚTIL
(ANOS)","TAXA ANUAL
DE
DEPRECIAÇÃO"
,,"AS MÁQUINAS DE CORTAR OU ACABAR
ENGRENAGENS DA POSIÇÃO 8461",,
123,8461,"MÁQUINAS-FERRAMENTAS PARA APLAINAR,
PLAINASLIMADORAS, MÁQUINAS-FERRAMENTAS
PARA ESCATELAR, BROCHAR, CORTAR OU ACABAR
ENGRENAGENS, SERRAR, SECCIONAR E OUTRAS
MÁQUINAS-FERRAMENTAS QUE TRABALHEM POR
ELIMINAÇÃO DE METAL OU DE CERAMAIS
(""CERMETS""), NÃO ESPECIFICADAS NEM
COMPREENDIDAS EM OUTRAS POSIÇÕES",10,10%
124,8462,"MÁQUINAS-FERRAMENTAS (INCLUÍDAS AS PRENSAS)
PARA FORJAR OU ESTAMPAR, MARTELOS,
MARTELOS-PILÕES E MARTINETES, PARA TRABALHAR
METAIS; MÁQUINASFERRAMENTAS (INCLUÍDAS AS
PRENSAS) PARA ENROLAR, ARQUEAR, DOBRAR,
ENDIREITAR, APLANAR, CISALHAR, PUNCIONAR OU
CHANFRAR METAIS; PRENSAS PARA TRABALHAR
METAIS OU CARBONETOS METÁLICOS, NÃO
ESPECIFICADAS ACIMA",10,10%
125,8463,"OUTRAS MÁQUINAS-FERRAMENTAS PARA
TRABALHAR METAIS OU CERAMAIS (""CERMETS""), QUE
TRABALHEM SEM ELIMINAÇÃO DE MATÉRIA",10,10%
126,8464,"MÁQUINAS-FERRAMENTAS PARA TRABALHAR PEDRA,
PRODUTOS CERÂMICOS, CONCRETO (BETÃO),
FIBROCIMENTO OU MATÉRIAS MINERAIS
SEMELHANTES, OU PARA O TRABALHO A FRIO DO
VIDRO",10,10%
127,8465,"MÁQUINAS-FERRAMENTAS (INCLUÍDAS AS MÁQUINAS
PARA PREGAR, GRAMPEAR, COLAR OU REUNIR POR
QUALQUER OUTRO MODO) PARA TRABALHAR
MADEIRA, CORTIÇA, OSSO, BORRACHA ENDURECIDA,
PLÁSTICOS DUROS OU MATÉRIAS DURAS
SEMELHANTES",10,10%
128,8467,"FERRAMENTAS PNEUMÁTICAS, HIDRÁULICAS OU DE
MOTOR, NÃO ELÉTRICO, INCORPORADO, DE USO
MANUAL",10,10%
129,8468,"MÁQUINAS E APARELHOS PARA SOLDAR, MESMO DE
CORTE, EXCETO OS DA POSIÇÃO 8515; MÁQUINAS E
APARELHOS A GÁS, PARA TÊMPERA SUPERFICIAL",10,10%
130,8469,"MÁQUINAS DE ESCREVER, EXCETO AS
IMPRESSORAS DA POSIÇÃO 8471; MÁQUINAS DE
TRATAMENTO DE TEXTOS",10,10%
131,8470,"MÁQUINAS DE CALCULAR QUE PERMITAM GRAVAR,
REPRODUZIR E VISUALIZAR INFORMAÇÕES, COM
FUNÇÃO DE CÁLCULO INCORPORADA; MÁQUINAS DE
CONTABILIDADE, MÁQUINAS DE FRANQUEAR, DE
EMITIR BILHETES E MÁQUINAS SEMELHANTES, COM
DISPOSITIVO DE CÁLCULO INCORPORADO; CAIXAS
REGISTRADORAS",,
132,8470.21,"--Máquinas eletrônicas de calcular com dispositivo
impressor incorporado",10,10%
133,8470.29,"--Outras máquinas eletrônicas de calcular, exceto de bolso",10,10%
134,8470.30,-Outras máquinas de calcular,10,10%
135,8470.40,-Máquinas de contabilidade,10,10%
136,8470.50,-Caixas registradoras,10,10%
137,8470.90,Máquinas de franquear correspondência,10,10%
138,8471,"MÁQUINAS AUTOMÁTICAS PARA PROCESSAMENTO
DE DADOS E SUAS UNIDADES; LEITORES
MAGNÉTICOS OU ÓPTICOS, MÁQUINAS PARA
REGISTRAR DADOS EM SUPORTE SOB FORMA
CODIFICADA, E MÁQUINAS PARA PROCESSAMENTO
DESSES DADOS, NÃO ESPECIFICADAS NEM
COMPREENDIDAS EM OUTRAS POSIÇÕES",5,20%
