ITEM,NCM/SH,DESCRIÇÃO COMERCIAL
60,8501,"Motor elétrico para acionamento de equipamentos e sistemas (inclui aplicação em guincho de
âncora)."
61,8504,Transformador (tipo seco).
62,8517,Unidade portátil de teste/aquisição multiplexada PETU (Portable Electrical Terminal Unit).
63,8904,Rebocador.
64,8905,Estrutura flutuante de apoio com embarcações auxiliares.
65,8905,Guindaste flutuante.
66,8905,Plataforma de perfuração/exploração (flutuante/semisubmersível).
67,8906,Barco salva-vidas.
68,8906,"Embarcação de apoio às atividades de pesquisa, exploração, perfuração, produção e estocagem."
69,8906,"Embarcação de pesquisa/aquisição de dados geológicos, geofísicos e geodésicos."
70,9014,Inclinômetro (tilt sensor) para sistema de posicionamento.
71,9015,Equipamento de aquisição de dados geológicos/geofísicos/geodésicos.
72,9015,"Partes/acessórios de instrumentos de aquisição de dados (9015) (inclui módulo
eletrônico/microprocessador)."
73,9015,Unidade/módulo de controle e aquisição de dados (instrumentos 9015).
74,9022,Aparelho de radiação (raios X/gama).
75,9024,Equipamento de ensaio mecânico de materiais/partes/tubos.
76,9026,Instrumento de medição/controle de vazão/pressão de processo.
77,9027,Unidade/sistema de análise físico-química de fluidos e sólidos.
78,9030,Instrumento de medição de radiação e grandezas elétricas.
79,9031,Base de teste e transporte (parte reconhecível de equipamento de ensaio).
80,9031,Caixa de teste para calibração de ferramenta HRLT.
81,9031,Equipamento de pré-comissionamento/inspeção de dutos.
82,9031,Equipamento de teste de estanqueidade de poço.
83,9031,Sistema de transferência de dados do poço para a superfície (instrumentação 9031).
84,9031,Sistema eletrônico de aquisição de dados estruturais (dutos/equipamentos submarinos).
85,9032,Sensor/instrumento de monitoramento e controle automático (processo).
86,9406,Contêiner técnico instrumentado (análise/monitoramento/controle).
