ITEM,NCM/SH,DESCRIÇÃO
1,8407.10.00,Motores para aviação
2,8411.11.00,Turborreatores de empuxo (impulso*) não superior a 25 kN
3,8411.12.00,Turborreatores de empuxo (impulso*) superior a 25 kN
4,8411.21.00,Turbopropulsores de potência não superior a 1.100 kW
5,8411.22.00,Turbopropulsores de potência superior a 1.100 kW
6,8411.81.00,Turbinas a gás de potência não superior a 5.000 kW
7,8411.82.00,Turbinas a gás de potência superior a 5.000 kW
8,8412.10.00,"Propulsores a reação, excluindo os turborreatores"
9,8543.10.00,Aceleradores de partículas
10,8543.30.10,"Máquinas e aparelhos de eletrólise, com células de membrana"
11,8802.60.00,"Veículos espaciais (incluindo os satélites) e seus veículos de lançamento, e veículos
suborbitais"
