CNAE 2.2,Descrição,"Alíquota
(%)"
"0111-
3/01",Cultivo de arroz,3
"0111-
3/02",Cultivo de milho,3
"0111-
3/03",Cultivo de trigo,2
"0111-
3/99",Cultivo de outros cereais não especificados anteriormente,3
"0112-
1/01",Cultivo de algodão herbáceo,3
"0112-
1/02",Cultivo de juta,3
"0112-
1/99",Cultivo de outras fibras de lavoura temporária não especificadas anteriormente,3
"0113-
0/00",Cultivo de cana-de-açúcar,3
"0114-
8/00",Cultivo de fumo,3
"0115-
6/00",Cultivo de soja,3
"0116-
4/01",Cultivo de amendoim,2
"0116-
4/02",Cultivo de girassol,2
"0116-
4/03",Cultivo de mamona,3
"0116-
4/99","Cultivo de outras oleaginosas de lavoura temporária não especificadas
anteriormente",3
"0119-
9/01",Cultivo de abacaxi,2
"0119-
9/02",Cultivo de alho,2
"0119-
9/03",Cultivo de batata-inglesa,3
