"6209-
1/00","Suporte técnico, manutenção e outros serviços em tecnologia da informação",2
"6311-
9/00","Tratamento de dados, provedores de serviços de aplicação e serviços de hospedagem na
internet",2
"6319-
4/00","Portais, provedores de conteúdo e outros serviços de informação na internet",1
"6391-
7/00",Agências de notícias,2
"6399-
2/00",Outras atividades de prestação de serviços de informação não especificadas anteriormente,3
"6410-
7/00",Banco Central,1
"6421-
2/00",Bancos comerciais,2
"6422-
1/00","Bancos múltiplos, com carteira comercial",3
"6423-
9/00",Caixas econômicas,2
"6424-
7/01",Bancos cooperativos,1
"6424-
7/02",Cooperativas centrais de crédito,1
"6424-
7/03",Cooperativas de crédito mútuo,2
"6424-
7/04",Cooperativas de crédito rural,1
"6431-
0/00","Bancos múltiplos, sem carteira comercial",1
"6432-
8/00",Bancos de investimento,1
"6433-
6/00",Bancos de desenvolvimento,2
"6434-
4/00",Agências de fomento,1
"6435-
2/01",Sociedades de crédito imobiliário,1
"6435-
2/02",Associações de poupança e empréstimo,1
"6435-
2/03",Companhias hipotecárias,1
"6436-
1/00","Sociedades de crédito, financiamento e investimento - financeiras",1
"6437-
9/00",Sociedades de crédito ao microempreendedor,1
"6440-
9/00",Arrendamento mercantil,1
"6450-
6/00",Sociedades de capitalização,3
"6461-
1/00",Holdings de instituições financeiras,2
"6462-
0/00",Holdings de instituições não financeiras,3
"6463-
8/00","Outras sociedades de participação, exceto holdings",2
"6470-
1/01","Fundos de investimento, exceto previdenciários e imobiliários",1
"6470-
1/02",Fundos de investimento previdenciários,1
"6470-
1/03",Fundos de investimento imobiliários,1
"6491-
3/00",Sociedades de fomento mercantil - factoring,1
"6492-
1/00",Securitização de créditos,3
