Grupo de atividade,Código FPAS
1º - Alimentação,507
2º - Vestuário,507
3º - Construção e mobiliário,507
"4º - Urbanas (saneamento, coleta e tratamento de resíduos, energia, gás, água e esgoto)",507
,507
5º - Extrativas,507
6º - Fiação e tecelagem,507
7º - Artefatos de couro,507
8º - Artefatos de borracha,507
"9º - Joalheiras, lapidação de pedras preciosas",507
10º - Químicas e farmacêuticas,507
"11º - Papel, papelão, cortiça",507
12º - Gráficas,507
"13º - Vidros, cristais, espelhos, cerâmicas, louças, porcelanas",507
"14º - Instrumentos musicais, brinquedos",507
15º - Cinematográficas,507
16º - Beneficiamentos,507
17º - Artesanatos (pessoa jurídica),507
"18º - Metalúrgicas, mecânicas, materiais elétricos",507
