"CÓDIGO DO
FPAS",col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12
,"Prev.
Social",Gilrat,"Salário-
Educação",Incra,Senai,Sesi,Senac,Sesc,Sebrae,DPC,"Fundo
Aeroviário",Senar
,---,---,0001,0002,0004,0008,0016,0032,0064,0128,0256,0512
507,20,Variável,"2,5","0,2","1,0","1,5",---,---,"0,6",---,---,---
"507
Cooperativa",20,Variável,"2,5","0,2",---,---,---,---,"0,6",---,---,---
515,20,Variável,"2,5","0,2",---,---,"1,0","1,5","0,6",---,---,---
"515
Cooperativa",20,Variável,"2,5","0,2",---,---,---,---,"0,6",---,---,---
523,20,Variável,"2,5","0,2",---,---,---,---,---,---,---,---
531,20,Variável,"2,5","2,7",---,---,---,---,---,---,---,---
540,20,Variável,"2,5","0,2",---,---,---,---,---,"2,5",---,---
558,20,Variável,"2,5","0,2",---,---,---,---,---,---,"2,5",---
566,20,Variável,"2,5","0,2",---,---,---,"1,5","0,3",---,---,---
"566
Cooperativa",20,Variável,"2,5","0,2",---,---,---,---,"0,3",---,---,---
574,20,Variável,"2,5","0,2",---,---,---,"1,5","0,3",---,---,---
"574
Cooperativa",20,Variável,"2,5","0,2",---,---,---,---,"0,3",---,---,---
582,20,Variável,---,---,---,---,---,---,---,---,---,---
590,20,Variável,"2,5",---,---,---,---,---,---,---,---,---
604,---,---,"2,5","0,2",---,---,---,---,---,---,---,---
612,20,Variável,"2,5","0,2",---,---,---,---,"0,6",---,---,---
"612
Cooperativa",20,Variável,"2,5","0,2",---,---,---,---,"0,6",---,---,---
620,20,---,---,---,---,---,---,---,---,---,---,---
639,---,---,---,---,---,---,---,---,---,---,---,---
647,---,---,"2,5","0,2",---,---,---,"1,5","0,3",---,---,---
