655,20,Variável,"2,5",---,---,---,---,---,---,---,---,---
680,20,Variável,"2,5","0,2",---,---,---,---,---,"2,5",---,---
"680
Operador
portuário
sujeito à
CPRB",---,Variável,"2,5","0,2",---,---,---,---,---,"2,5",---,---
736,"22,5",Variável,"2,5","0,2",---,---,---,---,---,---,---,---
"736
Cooperativa
(1)","22,5",Variável,"2,5","0,2",---,---,---,---,---,---,---,---
"744 Seg.
Especial (2)","1,2","0,1",---,---,---,---,---,---,---,---,---,"0,2"
"744 Pessoa
Física (2)","1,2","0,1",---,---,---,---,---,---,---,---,---,"0,2"
"744Pessoa
Jurídica (3)","1,7","0,1",---,---,---,---,---,---,---,---,---,"0,25"
"744
Agroindústria","2,5","0,1",---,---,---,---,---,---,---,---,---,"0,25"
779,"5,0",---,---,---,---,---,---,---,---,---,---,---
787,20,Variável,"2,5","0,2",---,---,---,---,---,---,---,"2,5"
"787
Cooperativa
(1)",20,Variável,"2,5","0,2",---,---,---,---,---,---,---,---
"795
Cooperativa",20,Variável,"2,5","2,7",---,---,---,---,---,---,---,---
825,---,---,"2,5","2,7",---,---,---,---,---,---,---,---
833,---,---,"2,5","0,2","1,0","1,5",---,---,"0,6",---,---,---
876,20,Variável,---,---,---,---,---,---,---,---,---,---
