ITEM,DESCRIÇÃO DO PRODUTO
1,Arroz das subposições 1006.20 e 1006.30 e do código 1006.40.00 da NCM/SH
2,"Leite, em conformidade com os requisitos da legislação específica relativos ao consumo direto pela população, classificado nos códigos 0401.10.10,
0401.10.90, 0401.20.10, 0401.20.90, 0401.40.10 e 0401.50.10 da NCM/SH"
3,"Leite em pó, em conformidade com os requisitos da legislação específica, classificado nos códigos 0402.10.10, 0402.10.90, 0402.21.10, 0402.21.20,
0402.29.10 e 0402.29.20 da NCM/SH"
4,"Fórmulas infantis, em conformidade com os requisitos da legislação específica, classificadas nos códigos 1901.10.10, 1901.10.90 e 2106.90.90 da
NCM/SH"
5,Manteiga do código 0405.10.00 da NCM/SH
6,Margarina do código 1517.10.00 da NCM/SH
7,"Feijões dos códigos 0713.33.19, 0713.33.29, 0713.33.99 e 0713.35.90 da NCM/SH"
8,"Café da posição 09.01 e da subposição 2101.1, ambos da NCM/SH"
9,"Óleo de babaçu do código 1513.21.20 da NCM/SH, em conformidade com os requisitos da legislação específica relativos ao consumo como alimento"
10,Farinha de mandioca classificada no código 1106.20.00 da NCM/SH e tapioca e seus sucedâneos do código 1903.00.00 da NCM/SH
11,"Farinha, grumos e sêmolas, de milho, dos códigos 1102.20.00 e 1103.13.00 da NCM"
12,Grãos de milho classificados no código 1104.19.00 e do código 1104.23.00 da NCM/SH
13,Farinha de trigo do código 1101.00.10 da NCM/SH
14,Açúcar classificado nos códigos 1701.14.00 e 1701.99.00 da NCM/SH
15,Massas alimentícias da subposição 1902.1 da NCM/SH
