ITEM,DESCRIÇÃO,NCM/SH
1,Acetato de dextroalfatocoferol,2936.28.12
2,Acetato de lisina,2922.41.90
3,Acetato de potássio,2915.29.90
4,Acetato de sódio,2915.29.10
5,Acetato de zinco,2915.29.90
6,Acetiltirosina,2922.50.39
7,Ácido acético,2915.21.00
8,Ácido ascórbico,2936.27.10
9,Ácido aspártico,2922.49.90
10,Ácido cítrico,2918.14.00
11,Ácido fólico,2936.29.11
12,Ácido glutâmico,2922.42.10
13,Ácido málico,2918.19.90
14,Ácido selenioso,2811.19.90
15,Água para injeção,2002.10.00
16,Alanilglutamina,2922.49.90
17,Alanina,2922.49.90
18,Albumina humana,3002.12.36
19,Arginina,2925.29.19
20,Asparagina,2922.49.90
21,Bicarbonato de sódio,2836.30.00
22,Biotina,2936.29.31
23,Cianocobalamina,2936.26.10
24,Cistina,2930.90.39
25,Cloreto crômico,2827.39.93
26,Cloreto de cálcio,"2827.20.10
2827.20.90"
27,Cloreto de magnésio,"2827.31.10
2827.31.90"
28,Cloreto de manganês,2827.39.95
29,Cloreto de potássio,"3104.20.10
3104.20.90"
30,Cloreto de sódio,2501.00.90
31,Cloreto de zinco,2827.39.98
32,Cloridrato de piridoxina,2936.25.20
33,Cloridrato de tiamina,2936.22.10
34,Cocarboxilase,2936.22.90
35,Colecalciferol,2936.29.21
36,Ergocalciferol,2936.29.29
37,Fenilalanina,2922.49.90
38,Fitomenadiona,2936.29.40
39,Fórmula para dieta isenta de fenilalanina,2106.90.90
40,Fórmula para dieta isenta demetionina,2106.90.90
41,Fórmula para dieta isenta de lisina e pobre de triptofano,2106.90.90
42,"Fórmula para dieta isenta de leucina, de isoleucina ou de valina",2106.90.90
43,Fórmula para dieta isenta de fenilalanina e de metionina,2106.90.90
44,Fórmula para dieta isenta de aminoácidos não essenciais,2106.90.90
45,"Fórmula para dieta isenta de metionina, de treonina, de valina e restrita de isoleucina",2106.90.90
46,"Fórmula para dieta cetogênica, na proporção de 4 g de gordura para cada 1 g de carboidratos e proteínas",2106.90.90
47,"Fórmula hiperlipídica, para suplementação de triglicerídios de cadeia média ou triheptanoína",2202.99.00
48,"Preparação líquida, de quatro partes de trioleato de glicerol de ácido para uma parte de trierucato de glicerol",2202.99.00
49,Fosfato de potássio dibásico,2835.24.00
50,Fosfato de potássio monobásico,2835.24.00
51,Fosfato de sódio monobásico,2835.22.00
52,Fosfato de tiamina,2936.22.90
53,Fosfato sódico de riboflavina,2936.23.20
