54,Frutose,1702.50.00
55,Glicerofosfato de sódio,2919.90.90
56,Glicina,2922.49.10
57,Gliconato de cálcio,2918.16.10
58,Glicose,1702.30.11
59,Histidina,2933.29.92
60,Icodextrina,3505.10.00
61,Iodeto de potássio,2827.60.12
62,Isoleucina,2922.49.90
63,Lecitina de ovo,2923.20.00
64,Leucina,2922.49.90
65,Levovalina,2922.49.90
66,Lisina,2922.41.10
67,Metionina,"2930.40.10
2930.40.90"
68,Nicotinamida,2936.29.52
69,Palmitato de retinol,2936.21.13
70,Prolina,2922.49.90
71,Riboflavina,2936.23.10
72,Selenito de sódio,2842.90.00
73,Serina,2922.50.99
74,Sorbitol,2905.44.00
75,Sulfato de magnésio,2833.21.00
76,Sulfato de zinco,2833.29.70
77,Taurina,2922.49.90
78,Tirosina,2922.50.39
79,Tocoferol,2936.28.11
80,Treonina,2922.50.99
81,Triglicerídeos de cadeia média,"1513.19.00
1513.29.11"
