ITEM,DESCRIÇÃO,NBS/NCM
1,Licenciamento de direitos de autor e de direitos conexos,1.1103
2,Licenciamento de direitos de obras literárias,1.1103.10.00
3,Licenciamento de direitos de autor de obras cinematográficas,1.1103.31.00
4,Licenciamento de direitos de autor de obras jornalísticas,1.1103.32.00
5,Licenciamento de direitos conexos de artistas intérpretes ou executantes em obras audiovisuais,1.1103.34.00
6,Licenciamento de direitos conexos de produtores de obras audiovisuais,1.1103.35.00
7,Licenciamento de direitos de obras audiovisuais destinadas à televisão,1.1103.36
8,Licenciamento de direitos de obras musicais e fonogramas,1.1103.4
9,Cessão temporária de direitos de obras literárias,1.1106.10.00
10,Cessão temporária de direitos de autor de obras cinematográficas,1.1106.31.00
11,Cessão temporária de direitos de autor de obras jornalísticas,1.1106.32.00
12,Cessão temporária de direitos conexos de artistas intérpretes ou executantes em obras audiovisuais,1.1106.34.00
13,Cessão temporária de direitos conexos de produtores de obras audiovisuais,1.1106.35.00
14,Cessão temporária de direitos de obras audiovisuais destinadas à televisão,1.1106.36
15,Cessão temporária de direitos de obras musicais e fonogramas,1.1106.4
16,Cessão definitiva de direitos de obras literárias,1.1107.10.00
17,Cessão definitiva de direitos de obras cinematográficas,1.1107.31.00
18,Cessão definitiva de direitos de obras jornalísticas,1.1107.32.00
19,Cessão definitiva de direitos de obras musicais e fonogramas,1.1107.40.00
20,Serviços de agências de notícias para jornais e periódicos,1.1704.10.00
21,Serviços de agências de notícias para mídia audiovisual,1.1704.20.00
22,"Serviços de assistência e organização de convenções, feiras de negócios, exposições e outros eventos",1.1806.6
23,"Serviços de gravação de som em estúdio destinados diretamente às produções nacionais artísticas, culturais e
audiovisuais",1.2501.11.00
24,"Serviços de gravação de som ao vivo destinados diretamente às produções nacionais artísticas, culturais e
audiovisuais",1.2501.12.00
25,"Serviços de produção de programas de televisão, videoteipes e filmes",1.2501.21.00
26,Serviços de produção de programas de rádio,1.2501.22.00
27,"Serviços de edição de obras audiovisuais destinados diretamente às produções nacionais artísticas, culturais e
audiovisuais",1.2501.31.00
28,"Serviços de duplicação e transferência de obras audiovisuais destinados diretamente às produções nacionais
artísticas, culturais e audiovisuais",1.2501.32.00
29,"Serviços de correção de cor e restauração digital de obras audiovisuais destinados diretamente às produções
nacionais artísticas, culturais e audiovisuais",1.2501.33.00
30,"Serviços de efeitos visuais em obras audiovisuais destinados diretamente às produções nacionais artísticas,
culturais e audiovisuais",1.2501.34.00
31,"Serviços de animação destinados diretamente às produções nacionais artísticas, culturais e audiovisuais",1.2501.35.00
32,"Serviços de legendas, títulos e dublagem em obras audiovisuais destinados diretamente às produções
nacionais artísticas, culturais e audiovisuais",1.2501.36.00
33,"Serviços de projeto e edição de som em obras audiovisuais destinados diretamente às produções nacionais
artísticas, culturais e audiovisuais",1.2501.37.00
34,Serviços de projeção de filmes,1.2501.50.00
35,"Serviços de produção audiovisual, de apoio e relacionados não classificados em subposições anteriores",1.2501.90.00
36,Serviços de organização e promoção de atuações artísticas ao vivo,1.2502.10.00
37,"Serviços de produção e apresentação de atuações artísticas ao vivo, inclusive os ingressos relativos a estes
serviços",1.2502.20.00
38,Serviços de atuação artística,1.2503.10.00
39,"Serviços de autores, compositores, escultores, pintores e outros artistas, exceto os de atuação artística",1.2503.20.00
40,"Serviços de museus, inclusive serviços relativos a mostras e coleções de arte",1.2504.11.00
41,"Serviços de reservas de ingressos para eventos de produções nacionais artísticas, culturais e audiovisuais",1.1805.32.00
42,Fotografias artísticas originais,4911.91.00
43,"Quadros, pinturas e desenhos, artísticos originais",9701.91.00
44,"Gravuras, estampas e litografias, artísticas originais",9702.90.00
45,Produções originais de arte estatutária ou de escultura,9703.90.00
46,Licenciamento de direitos conexos de artistas intérpretes ou executantes,1.1103.42.00
47,Cessão temporária de direitos de autor e de direitos conexos,1.1106
48,Cessão temporária de direitos conexos de artistas intérpretes ou executantes,1.1106.42.00
49,Licenciamento de direitos de autor de obras teatrais,
