ITEM,DESCRIÇÃO,NBS / NCM/SH
1,"SERVIÇOS RELACIONADOS À SOBERANIA E À SEGURANÇA NACIONAL, À SEGURANÇA DA INFORMAÇÃO E À
SEGURANÇA CIBERNÉTICA",
1.1,Segurança em Tecnologia da Informação (TI),1.1501.20.00
1.2,"Serviços de projeto e desenvolvimento de aplicativos e programas em Tecnologia
da Informação (TI) não classificados em subposições anteriores",1.1502.90.00
1.3,"Serviços de Tecnologia da Informação (TI) não classificados em subposições
anteriores",1.1510.00.00
1.4,(VETADO),1.1802.90.00
1.5,(VETADO),1.1802.30.00
1.6,"Serviço de localização de dispositivo perdido ou furtado, para proteção de
informações pessoais",pendente de classificação
1.7,"Serviço de bloqueio de dispositivo perdido ou furtado, para proteção de informações
pessoais",pendente de classificação
1.8,(VETADO),pendente de classificação
1.9,(VETADO),pendente de classificação
1.10,"Serviço de monitoramento de uso de dados pessoais e corporativos em redes do
tipo onion",pendente de classificação
1.11,Serviço de conexão protegida e criptografada para dispositivos,pendente de classificação
1.12,"Identificação e alerta de arquivos maliciosos ou alterações indevidas em
dispositivos, que permitam o acesso a informações",pendente de classificação
1.13,"Serviços de manutenção e reparação de veículos militares para uso pela segurança
nacional",1.2001.35.00
1.14,"Serviços de manutenção e reparação de equipamentos militares para uso pela
segurança nacional",1.2001.83.00
2,"BENS RELACIONADOS À SOBERANIA E À SEGURANÇA NACIONAL, À SEGURANÇA DA INFORMAÇÃO E À
SEGURANÇA CIBERNÉTICA",
2.1,Viatura operacional militar e também suas partes e peças,8709
2.2,"Carro blindado e carro de combate, terrestre ou anfíbio, sobre lagartas ou rodas,
com ou sem armamento e também suas partes e peças",8710.00.00
2.3,"Outros veículos de qualquer tipo, para uso pelos órgãos de Segurança Pública e
das Forças Armadas, com especificação própria dos Órgãos Militares e de
Segurança Pública e também suas partes e peças",8709
2.4,Simuladores de veículos militares,9031.80.99
2.5,"Tratores de baixa ou de alta velocidades, para uso pelos órgãos de Segurança
Pública e das Forças Armadas, sobre lagartas ou rodas, destinados às unidades de
engenharia ou de artilharia, para obras ou para rebocar equipamentos pesados e
também suas partes e peças",8701
2.6,Radares para uso militar,8526.10.00
2.7,Foguetes para uso militar,9301.20.00
2.8,Explosivos de emprego militar,"3602.00.00
9306"
2.9,Optrônicos,8525.89.29
2.10,Rações operacionais,2106.90.30
2.11,Minas marítimas,9306
2.12,"Cartuchos de munição naval e de artilharia e seus componentes (projétil, estojo,
estopilha, espoleta, traçador, pólvora e alto-explosivo), de calibre igual ou superior a
40 mm de diâmetro interno de tubo da arma",9306.2
2.13,"Bombas, torpedos, minas, mísseis, foguetes e seus componentes",9306
