Faixas,Percentual de Repartição dos Tributos,col2,col3,col4,col5
,IRPJ,CSLL,CBS,ISS (*),IBS
1ª Faixa,"18,80%","15,20%","21,26%","44,50%","0,24%"
2ª Faixa,"19,80%","15,20%","24,73%","40,00%","0,27%"
3ª Faixa,"20,80%","15,20%","23,74%","40,00%","0,26%"
4ª Faixa,"17,80%","19,20%","22,75%","40,00%","0,25%"
5ª Faixa,"18,80%","19,20%","21,76%","40,00% (*)","0,24%"
6ª Faixa,"53,71%","21,59%","24,70%",,
"(*) O percentual efetivo máximo devido ao ISS será de 5%, transferindo-se a diferença, de forma proporcional, aos tributos federais da mesma faixa de receita
bruta anual. Sendo assim, na 5ª faixa, quando a alíquota efetiva for superior a 12,5%, a repartição será:",,,,,
Faixa,IRPJ,CSLL,CBS,ISS,IBS
"5ª Faixa, com alíquota
efetiva superior a
12,5%","(Alíquota efetiva - 5%) x
31,33%","(Alíquota efetiva - 5%) x
32,00%","(Alíquota efetiva - 5%) x
36,27%","Percentual de ISS fixo
em 5%","(Alíquota efetiva - 5%) x
0,40%"
