NÚMERO DE MÓDULOS FISCAIS,Alíquotas
Até 2 ....................................................................................................................,"0,2%"
Acima de 2 até 3 .................................................................................................,"0,3%"
Acima de 3 até 4 .................................................................................................,"0,4%"
Acima de 4 até 5 .................................................................................................,"0,5%"
Acima de 5 até 6 .................................................................................................,"0,6%"
Acima de 6 até 7 .................................................................................................,"0,7%"
Acima de 7 até 8 .................................................................................................,"0,8%"
Acima de 8 até 9 .................................................................................................,"0,9%"
Acima de 9 até 10 ...............................................................................................,"1,0%"
Acima de 10 até 15 .............................................................................................,"1,2%"
Acima de 15 até 20 .............................................................................................,"1,4%"
Acima de 20 até 25 .............................................................................................,"1,6%"
Acima de 25 até 30 .............................................................................................,"1,8%"
Acima de 30 até 35 .............................................................................................,"2,0%"
Acima de 35 até 40 .............................................................................................,"2,2%"
Acima de 40 até 50 .............................................................................................,"2,4%"
Acima de 50 até 60 .............................................................................................,"2,6%"
Acima de 60 até 70 .............................................................................................,"2,8%"
Acima de 70 até 80 .............................................................................................,"3,0%"
Acima de 80 até 90 ...........................................................................................,"3,2%"
Acima de 90 até 100 ...........................................................................................,"3,4%"
Acima de 100 ......................................................................................................,"3,5%"
