"Inverso do índice relativo à renda per capita da entidade
participante:",Fator
"Até 0,0045 ...............................................................","0,4"
"Acima de 0,0045 até 0,0055 .....................................","0,5"
"Acima de 0,0055 até 0,0065 .....................................","0,6"
"Acima de 0,0065 até 0,0075 .....................................","0,7"
"Acima de 0,0075 até 0,0085 .....................................","0,8"
"Acima de 0,0085 até 0,0095 .....................................","0,9"
"Acima de 0,0095 até 0,0110 .....................................","1,0"
"Acima de 0,0110 até 0,0130 .....................................","1,2"
"Acima de 0,0130 até 0,0150 .....................................","1,4"
"Acima de 0,0150 até 0,0170 .....................................","1,6"
"Acima de 0,0170 até 0,0190 .....................................","1,8"
"Acima de 0,0190 até 0,0220 .....................................","2,0"
"Acima de 0,220 ............................................... .........","2,5"
