Seção 21,"PROVISÕES, PASSIVOS CONTINGENTES E ATIVOS CONTINGENTES"
Seção 22,PASSIVO E PATRIMÔNIO LÍQUIDO
Seção 23,RECEITAS
Seção 24,SUBVENÇÃO GOVERNAMENTAL
Seção 25,RECEITAS E DESPESAS FINANCEIRAS
Seção 26,PAGAMENTO BASEADO EM AÇÕES
Seção 27,REDUÇÃO AO VALOR RECUPERÁVEL DE ATIVOS
Seção 28,BENEFÍCIOS A EMPREGADOS E ADMINISTRADORES E SEUS ENCARGOS
Seção 29,TRIBUTOS SOBRE O LUCRO (IRPJ E CSLL)
Seção 30,"TRANSAÇÕES EM MOEDA ESTRANGEIRA E CONVERSÃO DE
DEMONSTRAÇÕES CONTÁBEIS"
Seção 31,HIPERINFLAÇÃO
Seção 32,EVENTO SUBSEQUENTE
Seção 33,DIVULGAÇÃO SOBRE PARTES RELACIONADAS
Seção 34,ATIVIDADES ESPECIALIZADAS
Seção 35,ADOÇÃO INICIAL DESTA NORMA
